Ontology ID	ID	Type	Company
PESTON:0500059	59	Company	AGROZOOFARMA S.R.L.
PESTON:0500060	60	Company	AID S.P.A.
PESTON:0500061	61	Company	AIFAR S.P.A.
PESTON:0500062	62	Company	AIR LIQUIDE ITALIA SERVICE S.R.L.
PESTON:0500063	63	Company	AKZO NOBEL CHEMICALS S.P.A.
PESTON:0500064	64	Company	ALBAUGH TKI D.O.O
PESTON:0500065	65	Company	ALBAUGH UK LTD.
PESTON:0500066	66	Company	ALGHEMAR S.R.L.
PESTON:0500067	67	Company	ALINTRA S.A.
PESTON:0500068	68	Company	ALKAGRO EUROPE S.P.R.L.
PESTON:0500069	69	Company	ALPHA BIOPESTICIDES LTD
PESTON:0500070	70	Company	ALTHALLER ITALIA S.R.L.
PESTON:0500071	71	Company	ALZCHEM TROSTBERG GMBH
PESTON:0500072	72	Company	AMVAC CHEMICAL UK LIMITED
PESTON:0500073	73	Company	AMVAC NETHERLANDS B.V.
PESTON:0500074	74	Company	APA ANTIPARASSITARI PER AGRICOLTURA S.R.L.
PESTON:0500075	75	Company	ARGCHEMICAL S.N.C.
PESTON:0500076	76	Company	ARYSTA LIFESCIENCE BENELUX SPRL
PESTON:0500077	77	Company	ARYSTA LIFESCIENCE REGISTRATIONS GREAT BRITAIN LTD
PESTON:0500078	78	Company	ARYSTA LIFESCIENCE S.A.S.
PESTON:0500079	79	Company	ASAHI CHEMICAL EUROPE S.R.O
PESTON:0500080	80	Company	ASCENZA AGRO S.A.
PESTON:0500081	81	Company	ASCENZA ITALIA S.R.L.
PESTON:0500082	82	Company	ATOFINA ITALIA S.R.L.
PESTON:0500083	83	Company	AUSCHEM LTD
PESTON:0500084	84	Company	AUSCHEM S.P.A.
PESTON:0500085	85	Company	AUSTRITAL LTD
PESTON:0500086	86	Company	AVENTIS CROPSCIENCE ITALIA S.P.A.
PESTON:0500087	87	Company	AZELIS ITALIA S.R.L.
PESTON:0500088	88	Company	AZF AGRICOLTURA S.R.L.
PESTON:0500089	89	Company	AZIENDE AGRARIE TRENTO FITOFARMACI
PESTON:0500090	90	Company	BACTEC CORPORATION
PESTON:0500091	91	Company	BAM S.R.L.
PESTON:0500092	92	Company	BARCLAY CHEMICALS (R&D) LTD.
PESTON:0500093	93	Company	BARCLAY CHEMICALS MANUFACTURING LTD
PESTON:0500094	94	Company	BASF A.G. (AKTIENGESELLSHAFT)
PESTON:0500095	95	Company	BASF AGRO S.P.A.
PESTON:0500096	96	Company	BASF ITALIA S.P.A.
PESTON:0500097	97	Company	BASLINI S.P.A.
PESTON:0500098	98	Company	BAYER CROPSCIENCE S.R.L.
PESTON:0500099	99	Company	BE DI BR BUSOLIN ELIGIO DI BUSOLIN RODOLFO
PESTON:0500100	100	Company	BEIKIRCHER GRUENLAND S.N.C.
PESTON:0500101	101	Company	BELCHIM CROP PROTECTION ITALIA S.P.A.
PESTON:0500102	102	Company	BELCHIM CROP PROTECTION NV/SA
PESTON:0500103	103	Company	BENATI
PESTON:0500104	104	Company	BENFER-SCHELLER S.P.A.
PESTON:0500105	105	Company	BI-PA PRODOTTI BIOLOGICI PER L'AGRICOLTURA N.V.
PESTON:0500106	106	Company	BIAGRO S.L.
PESTON:0500107	107	Company	BIO-FERM GMBH
PESTON:0500108	108	Company	BIOCARE GESELLSHAFT FUR BIOLOGISCHE SCHUTZMITTEL GMBH
PESTON:0500109	109	Company	BIOCHEM S.R.L. (GORIZIA)
PESTON:0500110	110	Company	BIOCONTROL TECHNOLOGIES S.L.
PESTON:0500111	111	Company	BIOFA AG
PESTON:0500112	112	Company	BIOIBERICA S.A.U.
PESTON:0500113	113	Company	BIOLCHIM S.P.A.
PESTON:0500114	114	Company	BIONATURA S.R.L.
PESTON:0500115	115	Company	BIOWORKS EUROPE LIMITED
PESTON:0500116	116	Company	BLUMEN GROUP S.P.A.
PESTON:0500117	117	Company	BORREGAARD ITALIA S.P.A.
PESTON:0500118	118	Company	BOZZOLA S.P.A.
PESTON:0500119	119	Company	BROKDEN S.L.
PESTON:0500120	120	Company	BROMOSICULA S.A.S.
PESTON:0500121	121	Company	BROMOTIRRENA S.R.L.
PESTON:0500122	122	Company	BRUTIACHIM S.P.A.
PESTON:0500123	123	Company	C.I.A. COMMERCIALE INTERNAZIONALE AGRICOLA S.R.L.
PESTON:0500124	124	Company	CAF KARYON S.L.
PESTON:0500125	125	Company	CAFFARO S.P.A.
PESTON:0500126	126	Company	CALTABELLOTTA S.R.L.
PESTON:0500127	127	Company	CAMPLONE
PESTON:0500128	128	Company	CASTALDO S.P.A.
PESTON:0500129	129	Company	CBC (EUROPE) S.R.L.
PESTON:0500130	130	Company	CERAC
PESTON:0500131	131	Company	CEREXAGRI S.A.
PESTON:0500132	132	Company	CERRUS S.A.S. DI RONZONI G. & C.
PESTON:0500133	133	Company	CERTIPLANT B.V.
PESTON:0500134	134	Company	CERTIS EUROPE B.V.
PESTON:0500135	135	Company	CHEMIA S.P.A.
PESTON:0500136	136	Company	CHEMIL S.R.L.
PESTON:0500137	137	Company	CHEMINOVA A/S
PESTON:0500138	138	Company	CHEMINOVA AGRO ITALIA S.R.L.
PESTON:0500139	139	Company	CHEMINOVA AGRO S.A.
PESTON:0500140	140	Company	CHEMINOVA DEUTSCHLAND GMBH & CO. KG
PESTON:0500141	141	Company	CHEMTRADE S.R.L.
PESTON:0500142	142	Company	CHEMTURA ITALY S.R.L.
PESTON:0500143	143	Company	CHIMAC-AGRIPHAR S.A.
PESTON:0500144	144	Company	CHIMIBERG S.R.L.
PESTON:0500145	145	Company	CHIMIGROUP S.R.L.
PESTON:0500146	146	Company	CHIMIPLANT S.R.L.
PESTON:0500147	147	Company	CHIMITAL
PESTON:0500148	148	Company	CHIMITALIA S.A.S.
PESTON:0500149	149	Company	CIECH SARZYNA S.A.
PESTON:0500150	150	Company	CIFO S.R.L.
PESTON:0500151	151	Company	CINKARNA CELJE, INC.
PESTON:0500152	152	Company	CLERICO LORENZO
PESTON:0500153	153	Company	COLIA TRADE S.R.L.
PESTON:0500154	154	Company	COLKIM S.R.L.
PESTON:0500155	155	Company	COMAGRI S.R.L.
PESTON:0500156	156	Company	COMERCIAL QUIMICA MASSO' S.A.
PESTON:0500157	157	Company	
PESTON:0500158	158	Company	COMPO GMBH
PESTON:0500159	159	Company	COMPO ITALIA S.R.L.
PESTON:0500160	160	Company	COMPTOIR COMMERCIAL DES LUBRIFIANTS  S.A.S.
PESTON:0500161	161	Company	CONAS S.R.L.
PESTON:0500162	162	Company	CONSORZIO AGRARIO PROVINCIA DI FERRARA
PESTON:0500163	163	Company	CONSORZIO AGRARIO PROVINCIALE DI PARMA
PESTON:0500164	164	Company	COPYR S.P.A.
PESTON:0500165	165	Company	CORTEVA AGRISCIENCE ITALIA S.R.L.
PESTON:0500166	166	Company	COSMOFIT
PESTON:0500167	167	Company	CP AGRO (IRELAND) PYT LTD
PESTON:0500168	168	Company	CROMPTON TECHNOLOGY BV
PESTON:0500169	169	Company	DAL CIN GILDO S.P.A.
PESTON:0500170	170	Company	DANSTAR FERMENT AG
PESTON:0500171	171	Company	DE CEUSTER MESTSTOFFEN N.V.
PESTON:0500172	172	Company	DE SANGOSSE SAS
PESTON:0500173	173	Company	DECCO IBERICA POST COSECHA S.A.U.
PESTON:0500174	174	Company	DECCO ITALIA S.R.L.
PESTON:0500175	175	Company	DEMETRA ITALIA S.R.L.
PESTON:0500176	176	Company	DETERCHIMICA 3000 S.R.L.
PESTON:0500177	177	Company	DETERPAN S.R.L.
PESTON:0500178	178	Company	DEVGEN NV
PESTON:0500179	179	Company	DIACHEM S.P.A.
PESTON:0500180	180	Company	DOMUSART BIOART D.B.M. S.A.S.
PESTON:0500181	181	Company	DOTT. ANTONIO BORACCHINI & C. S.N.C.
PESTON:0500182	182	Company	DOUGLAS BLG BVBA
PESTON:0500183	183	Company	DOW EUROPE GMBH
PESTON:0500184	184	Company	DREYFUS GENTILI P.M.O. S.P.A.
PESTON:0500185	185	Company	DU PONT DE NEMOURS ITALIANA S.R.L.
PESTON:0500186	186	Company	DU PONT FRANCE S.A.S.
PESTON:0500187	187	Company	EASTMAN ITALIA S.R.L.
PESTON:0500188	188	Company	ELF ATOCHEM AGRI B.V.
PESTON:0500189	189	Company	ELKAM S.R.L.
PESTON:0500190	190	Company	EMME ITALIA S.R.L.
PESTON:0500191	191	Company	ENOTRIA S.P.A.
PESTON:0500192	192	Company	ERREGI S.R.L.
PESTON:0500193	193	Company	EUPHYTOR
PESTON:0500194	194	Company	EURO DISINFESTAZIONI DI VINCENZO CARPENZANO
PESTON:0500195	195	Company	EURO TSA S.R.L.
PESTON:0500196	196	Company	EUROAGRO S.R.L.
PESTON:0500197	197	Company	EUROBIOS S.R.L.
PESTON:0500198	198	Company	EUROCENTRAL COMPANY
PESTON:0500199	199	Company	EUROZOLFI S.R.L.
PESTON:0500200	200	Company	EVERGREEN GARDEN CARE FRANCE SAS
PESTON:0500201	201	Company	EVERRIS INTERNATIONAL B.V.
PESTON:0500202	202	Company	EVONIK DEGUSSA GMBH
PESTON:0500203	203	Company	EVRIKLIS FITSAKIS - DAKOFAKA
PESTON:0500204	204	Company	EXCLUSIVAS SARABIA S.A.
PESTON:0500205	205	Company	EZCROP LTD
PESTON:0500206	206	Company	FARMOL SAFCA
PESTON:0500207	207	Company	FATRO
PESTON:0500208	208	Company	FATTORIA AUTONOMA TABACCHI
PESTON:0500209	209	Company	FBC S.R.L.
PESTON:0500210	210	Company	FEDERAZIONE ITALIANA DEI CONSORZI AGRARI
PESTON:0500211	211	Company	FEDIS S.R.L.
PESTON:0500212	212	Company	FEINCHEMIE ITALIA S.R.L.
PESTON:0500213	213	Company	FERTIPLANT S.R.L.
PESTON:0500214	214	Company	FIELD FARM S.R.L.
PESTON:0500215	215	Company	FILAGRO S.R.L.
PESTON:0500216	216	Company	FILIA S.P.A.
PESTON:0500217	217	Company	FINCHIMICA S.P.A.
PESTON:0500218	218	Company	FINE AGROCHEMICALS LTD
PESTON:0500219	219	Company	FIPA DI PAOLO FIOCCO
PESTON:0500220	220	Company	FISONS ITALCHIMICI S.P.A.
PESTON:0500221	221	Company	FITOCHIMICA GIULIANA
PESTON:0500222	222	Company	FIVAT INDUSTRIA CHIMICA S.P.A.
PESTON:0500223	223	Company	FLOWERS SET LIMITED
PESTON:0500224	224	Company	FMC CHEMICAL SPRL
PESTON:0500225	225	Company	FMC CORPORATION
PESTON:0500226	226	Company	FMC FORET S.A.
PESTON:0500227	227	Company	FORMENTI S.P.A.
PESTON:0500228	228	Company	FOS-DER S.R.L.
PESTON:0500229	229	Company	FRUNOL DELICIA GMBH
PESTON:0500230	230	Company	FUTURECO BIOSCIENCE S.L.
PESTON:0500231	231	Company	GALENIKA-FITOFARMACIJA D.O.O.
PESTON:0500232	232	Company	GAMMA INTERNATIONAL S.R.L.
PESTON:0500233	233	Company	GANDINI
PESTON:0500234	234	Company	GARDA GMBH
PESTON:0500235	235	Company	GAT MICROENCAPSULATION AG
PESTON:0500236	236	Company	GENERICA EUROPA LIMITED
PESTON:0500237	237	Company	GENETTI DI GENETTI KARL & C. KG S.A.S.
PESTON:0500238	238	Company	GENETTI S.R.L.-GMBH
PESTON:0500239	239	Company	GEOFIN S.P.A.
PESTON:0500240	240	Company	GHARDA CHEMICALS EUROPE LTD
PESTON:0500241	241	Company	GHARDA CHEMICALS LTD
PESTON:0500242	242	Company	GLOBACHEM NV
PESTON:0500243	243	Company	GOAL UP LIFESCIENCES GMBH
PESTON:0500244	244	Company	GOWAN COMERCIO INTERNACIONAL E SERVICOS, LIMITADA
PESTON:0500245	245	Company	GOWAN ITALIA S.R.L.
PESTON:0500246	246	Company	GRABI CHEMICAL S.R.L.
PESTON:0500247	247	Company	GREEN FARM S.R.L.
PESTON:0500248	248	Company	GREEN RAVENNA S.R.L.
PESTON:0500249	249	Company	GREEN TRADE S.R.L.
PESTON:0500250	250	Company	GREEN UP S.R.L.
PESTON:0500251	251	Company	GREENLIGHT CHEMICALS S.R.L.
PESTON:0500252	252	Company	GREENLOGY S.R.L.
PESTON:0500253	253	Company	GRIFFIN (EUROPE) S.A.
PESTON:0500254	254	Company	GRIFFIN CORPORATION
PESTON:0500255	255	Company	GRIFFIN EUROPE HEADQUARTERS N.V.
PESTON:0500256	256	Company	GRIFFIN LLC
PESTON:0500257	257	Company	GRUPO AGROTECNOLOGIA
PESTON:0500258	258	Company	GUABER S.P.A.
PESTON:0500259	259	Company	GUABER S.R.L.
PESTON:0500260	260	Company	HELM AG
PESTON:0500261	261	Company	HERBEX PRODUTOS QUIMICOS L.D.A
PESTON:0500262	262	Company	HERMOO BELGIUM N.V.
PESTON:0500263	263	Company	HOECHST SCHERING AGREVO GMBH
PESTON:0500264	264	Company	HOECHST SCHERING AGREVO S.A.
PESTON:0500265	265	Company	I.B.G. S.R.L.
PESTON:0500266	266	Company	I.C.S. INDUSTRIA CHIMICA SUBALPINA S.P.A.
PESTON:0500267	267	Company	I.N.D.I.A. INDUSTRIE CHIMICHE S.P.A.
PESTON:0500268	268	Company	I.PI.CI S.P.A.
PESTON:0500269	269	Company	I.R.C.A. SERVICE S.P.A.
PESTON:0500270	270	Company	I.T.A.C.O. CHIMICA S.R.L.
PESTON:0500271	271	Company	ICL ITALIA TREVISO S.R.L.
PESTON:0500272	272	Company	ICO (INDUSTRIA CHIMICA ORGANICA) MASCIA S.R.L.
PESTON:0500273	273	Company	IDAFF I.C.G. S.P.A.
PESTON:0500274	274	Company	IMEPIA
PESTON:0500275	275	Company	INDOFIL INDUSTRIES (NETHERLANDS) B.V.
PESTON:0500276	276	Company	INDOFIL INDUSTRIES LTD
PESTON:0500277	277	Company	INDUSTRIA CHIMICA DEL MEZZOGIORNO S.P.A.
PESTON:0500278	278	Company	INDUSTRIA CHIMICA SCARMAGNAN ALBERTO & C. S.A.S.
PESTON:0500279	279	Company	INDUSTRIA QUIMICA DE PORTUGUESA ESPANOLA S.L.
PESTON:0500280	280	Company	INDUSTRIAL QUIMICA KEY S.A.
PESTON:0500281	281	Company	INDUSTRIALCHIMICA S.R.L.
PESTON:0500282	282	Company	INDUSTRIAS AFRASA S.A
PESTON:0500283	283	Company	INGEGNOLI F.LLI S.P.A.
PESTON:0500284	284	Company	INNVIGO SP. Z O.O.
PESTON:0500285	285	Company	INTERNATIONAL P.B.I. S.P.A. (GIA' POOL BIOANALISIS
PESTON:0500286	286	Company	INTERNAZIONALE B.P.D. S.R.L.
PESTON:0500287	287	Company	INTERTEC S.R.L.
PESTON:0500288	288	Company	INTRACHEM BIO ITALIA S.P.A.
PESTON:0500289	289	Company	IQV INDUSTRIAS QUIMICAS DEL VALLES S.A.
PESTON:0500290	290	Company	IQV ITALIA S.R.L.
PESTON:0500291	291	Company	ISAGRO COPPER S.R.L.
PESTON:0500292	292	Company	ISAGRO S.P.A.
PESTON:0500293	293	Company	ISHIHARA SANGYO KAISHA LTD
PESTON:0500294	294	Company	ISK BIOSCIENCES EUROPE N.V.
PESTON:0500295	295	Company	ITACA S.R.L.
PESTON:0500296	296	Company	ITAGRO S.A.S DI AGNESE CLAUDIO & C.
PESTON:0500297	297	Company	ITAL-AGRO S.R.L.
PESTON:0500298	298	Company	ITALCHIMICA
PESTON:0500299	299	Company	JADE - JARDIN AGRICULTURE DEVELOPPEMENT
PESTON:0500300	300	Company	JANSSEN PHARMACEUTICA N.V.
PESTON:0500301	301	Company	JANSSEN PMP - DIVISIONE DI JANSSEN PHARMACEUTICA N.V.
PESTON:0500302	302	Company	JANSSEN-CILAG S.P.A.
PESTON:0500303	303	Company	K-I CHEMICAL EUROPE SA
PESTON:0500304	304	Company	KANESHO SOIL TREATMENT SPRL/BVBA
PESTON:0500305	305	Company	KARNIN CONSULTING E K. GMBH
PESTON:0500306	306	Company	KEMIO
PESTON:0500307	307	Company	KEMIPHARM S.R.L.
PESTON:0500308	308	Company	KOCIDE CHEMICAL CORPORATION
PESTON:0500309	309	Company	KOLLANT S.R.L.
PESTON:0500310	310	Company	KOPPERT B.V.
PESTON:0500311	311	Company	KOPPERT ITALIA S.R.L.
PESTON:0500312	312	Company	KWIZDA AGRO GMBH
PESTON:0500313	313	Company	KWIZDA ITALIA S.R.L.
PESTON:0500314	314	Company	L. GOBBI S.R.L.
PESTON:0500315	315	Company	L.I.F.A. S.R.L.
PESTON:0500316	316	Company	LABORATOIRES GOEMAR S.A.
PESTON:0500317	317	Company	LABORATORIO BIOFARMACOTECNICO ITALIANO S.R.L.
PESTON:0500318	318	Company	LABORATORIOS AGROCHEM S.L.
PESTON:0500319	319	Company	LAINCO S.A.
PESTON:0500320	320	Company	LENA S.R.L.
PESTON:0500321	321	Company	LEVINGTON HORTICULTURE LTD
PESTON:0500322	322	Company	LG LIFE SCIENCES UK LTD
PESTON:0500323	323	Company	LIBCO
PESTON:0500324	324	Company	LINDE GAS ITALIA S.R.L.
PESTON:0500325	325	Company	LINFA S.P.A. CURA DEL VERDE
PESTON:0500326	326	Company	LONZA COLOGNE GMBH
PESTON:0500327	327	Company	LUXAN
PESTON:0500328	328	Company	LUXEMBOURG PAMOL (CYPRUS) LTD
PESTON:0500329	329	Company	M2I BIOCONTROL
PESTON:0500330	330	Company	MAGAN ITALIA S.R.L.
PESTON:0500331	331	Company	MAKHTESHIM AGAN HOLLAND B.V.
PESTON:0500332	332	Company	MANICA S.P.A.
PESTON:0500333	333	Company	MARGARITA INTERNATIONAL
PESTON:0500334	334	Company	MARGESIN S.P.A.
PESTON:0500335	335	Company	MARK S.R.L.
PESTON:0500336	336	Company	MASTRA S.R.L.
PESTON:0500337	337	Company	MAYER BRAUN DEUTSCHLAND S.R.L.
PESTON:0500338	338	Company	MEDISAN DI CARDONA DR.SSA GABRIELLA
PESTON:0500339	339	Company	MENNO CHEMIE-VERTRIEBSGES GMBH
PESTON:0500340	340	Company	MENORA GMBH
PESTON:0500341	341	Company	MGK MCLAUGHLIN GORMLEY KING EUROPE LTD
PESTON:0500342	342	Company	MICROCIDE LTD
PESTON:0500343	343	Company	MIRE S.R.L.
PESTON:0500344	344	Company	MITSUI AGRISCIENCE INTERNATIONAL S.A./N.V.
PESTON:0500345	345	Company	MITSUI CHEMICALS EUROPE GMBH
PESTON:0500346	346	Company	MONSANTO AGRICOLTURA ITALIA S.P.A.
PESTON:0500347	347	Company	MONTANWERKE BRIXLEGG AG
PESTON:0500348	348	Company	MONTECHIMICA PRODOTTI CHIMICI S.N.C.
PESTON:0500349	349	Company	MONTEVIVO S.N.C. (INDUSTRIA PRODOTTI CHIMICI)
PESTON:0500350	350	Company	N. SGARAVATTI & C. S.P.A.
PESTON:0500351	351	Company	NATAN S.R.L.
PESTON:0500352	352	Company	NATURAL PLANT PROTECTION S.A.S.
PESTON:0500353	353	Company	NEW AGRI S.R.L.
PESTON:0500354	354	Company	NEWPHARM S.R.L.
PESTON:0500355	355	Company	NICHINO EUROPE CO LTD
PESTON:0500356	356	Company	NIHON NOHYAKU CO. LTD
PESTON:0500357	357	Company	NISSAN CHEMICAL EUROPE S.A.S
PESTON:0500358	358	Company	NISSO CHEMICAL EUROPE GMBH
PESTON:0500359	359	Company	NORDOX AS
PESTON:0500360	360	Company	NOVAFITO S.P.A.
PESTON:0500361	361	Company	NOVAMONT S.P.A.
PESTON:0500362	362	Company	NOVARTIS ANIMAL HEALTH S.P.A.
PESTON:0500363	363	Company	NOVOZYMES A/S
PESTON:0500364	364	Company	NOVOZYMES FRANCE SAS
PESTON:0500365	365	Company	NUFARM B.V.
PESTON:0500366	366	Company	NUFARM GMBH & CO KG
PESTON:0500367	367	Company	NUFARM ITALIA S.R.L.
PESTON:0500368	368	Company	NUFARM S.A.S.
PESTON:0500369	369	Company	NUFARM UK LTD
PESTON:0500370	370	Company	NUOVA FITOCHIMICA S.R.L.
PESTON:0500371	371	Company	NUOVA SUNCHEMICAL S.R.L.
PESTON:0500372	372	Company	NUOVE AZIENDE AGRARIE S.P.A.
PESTON:0500373	373	Company	ORIS S.P.A.
PESTON:0500374	374	Company	ORO AGRI INTERNATIONAL LTD
PESTON:0500375	375	Company	ORVITAL S.P.A.
PESTON:0500376	376	Company	OVERTY S.R.L.
PESTON:0500377	377	Company	P.K. PLANT KEMICAL S.R.L.
PESTON:0500378	378	Company	PA.MAG S.R.L.
PESTON:0500379	379	Company	PAC S.R.L.
PESTON:0500380	380	Company	PANZERA S.A.S.
PESTON:0500381	381	Company	PASQUALE MORMINO & FIGLIO S.R.L.
PESTON:0500382	382	Company	PAVONI & C. S.p.A.
PESTON:0500383	383	Company	PETRONAS LUBRICANTS ITALY S.P.A. - DIVISIONE RONDINE
PESTON:0500384	384	Company	PHYTEUROP S.A.
PESTON:0500385	385	Company	PHYTORUS S.A.
PESTON:0500386	386	Company	PILARQUIM EUROPE LTD
PESTON:0500387	387	Company	PIONEER HI-BRED ITALIA S.R.L.
PESTON:0500388	388	Company	PISCO S.P.A.
PESTON:0500389	389	Company	PLAASKEM ITALIA S.R.L.
PESTON:0500390	390	Company	PLANT CHEM S.R.L.
PESTON:0500391	391	Company	PM CHEMICALS S.R.L.
PESTON:0500392	392	Company	POLISENIO S.R.L.
PESTON:0500393	393	Company	PRATO LONGHI DI F. LONGHI
PESTON:0500394	394	Company	PRO.PHY.M SARL
PESTON:0500395	395	Company	PROBELTE S.A.
PESTON:0500396	396	Company	PROBODELT S.L
PESTON:0500397	397	Company	PROCHIMAG DI MANDRIOLI GIUSEPPE
PESTON:0500398	398	Company	PROCHIMAG ITALIA S.R.L.
PESTON:0500399	399	Company	PROGRAM S.R.L.
PESTON:0500400	400	Company	PROPLAN PLANT PROTECTION COMPANY S.L.
PESTON:0500401	401	Company	PROQUIMICOS S.A.
PESTON:0500402	402	Company	PROTEMA S.R.L.
PESTON:0500403	403	Company	PROTEO INTERNATIONAL S.R.L.
PESTON:0500404	404	Company	PROVIFARM S.R.L.
PESTON:0500405	405	Company	QUIMETAL INTERNACIONAL REGISTROS E INVERSIONES S.L.
PESTON:0500406	406	Company	RAFFINERIE ALMAGIA'
PESTON:0500407	407	Company	RATTICIDA VENETA DI FARLENGA M. E G. & C. S.A.S.
PESTON:0500408	408	Company	RAVEN ZOLFI DI LA MENDOLA & C.S.R.L.
PESTON:0500409	409	Company	RAVIER DOMENICO & CO. S.N.C.
PESTON:0500410	410	Company	REA S.P.A.
PESTON:0500411	411	Company	REALCHEMIE NEDERLAND B.V.
PESTON:0500412	412	Company	RECKITT & COLMANN ITALIA S.P.A.
PESTON:0500413	413	Company	RHIZOPON B.V
PESTON:0500414	414	Company	RICEMADEIRA COMPANY EUROPE
PESTON:0500415	415	Company	ROCCA FRUTTA S.R.L.
PESTON:0500416	416	Company	ROHM AND HAAS ITALIA S.R.L.
PESTON:0500417	417	Company	ROLOIL S.R.L.
PESTON:0500418	418	Company	ROTAM AGROCHEMICAL EUROPE LIMITED
PESTON:0500419	419	Company	RS CHEMICALS ITALIA S.R.L. SOCIO UNICO
PESTON:0500420	420	Company	S.A.I.M. MINIERE DI ZOLFO S.R.L.
PESTON:0500421	421	Company	S.A.R.I.A.F. S.P.A.
PESTON:0500422	422	Company	S&B CONSULT SNC
PESTON:0500423	423	Company	SABERO ORGANICS GUJARAT LIMITED
PESTON:0500424	424	Company	SAFFA
PESTON:0500425	425	Company	SAIBI S.P.A.
PESTON:0500426	426	Company	SANTA RITA MERCANTILE C.O.
PESTON:0500427	427	Company	SASEA
PESTON:0500428	428	Company	SBM DEVELOPPEMENT S.A.S.
PESTON:0500429	429	Company	SCAM S.P.A.
PESTON:0500430	430	Company	SEDQ - HEALTHY CROPS S.L.
PESTON:0500431	431	Company	SEIPASA S.A.
PESTON:0500432	432	Company	SELEZIONE PAC S.R.L.
PESTON:0500433	433	Company	SEMIOSBIO TECHNOLOGIES INC.
PESTON:0500434	434	Company	SEPRAN S.A.S.
PESTON:0500435	435	Company	SEPRO CORPORATION
PESTON:0500436	436	Company	SER S.P.A.
PESTON:0500437	437	Company	SERBIOS S.R.L.
PESTON:0500438	438	Company	SERBROM EREDI MANENTI MICHELE DI ASSENZA PARISI GIOVANNA & SNC
PESTON:0500439	439	Company	SHARDA CROPCHEM ESPANA S.L.
PESTON:0500440	440	Company	SHARDA CROPCHEM LIMITED
PESTON:0500441	441	Company	SHARDA EUROPE B.V.B.A.
