id	Chemical_role	Chemical_role_ITA	Reg_no	Product	Company	Issue_date	Authorisation_expiry_date	Revocation_date	Authorization_status	Authorization_status_en	Revocation_reason	Revocation_decision_date	Formulation_code	Formulation_description	Formulation_use	Hazard_mention	Hazard_code	Active_ingredient	CHEBI_confidence	CHEBI_term_label	CHEBI_term	Active_ingredient_content	CH 2	CHT 2	AI 2	CH 3	CHT 3	AI 3	CH 4	CHT 4	AI 4	CH 5	CHT5	AI 5	IP	PFnPO	PFnPE
PESTON:0100022	pesticide product		22	U 46 DP-FLUID	BASF A.G. (AKTIENGESELLSHAFT)	1971-07-20		2002-09-20	Revocato	revoked			SL	soluble concentrate	W			DICHLORPROP	Good	dichlorprop	CHEBI:75375	54															
PESTON:0100023	pesticide product		23	AGROXONE 3	SYNGENTA ITALIA S.P.A.	1971-07-28		2003-03-14	Revocato	revoked			AL	any other liquid	M			MCPA	Good	MCPA-thioethyl	CHEBI:81929	25															
PESTON:0100024	pesticide product		24	ACARTHANE WP	DU PONT DE NEMOURS ITALIANA S.R.L.	1972-11-09		1997-06-11	Revocato	revoked			WP	wettable powder	W			DICOFOL|DINOCAP	Medium|Medium	dicofol	CHEBI:34692	18	dinocap	CHEBI:83379	9												
PESTON:0100025	pesticide product		25	ALSAN G 4%	DU PONT DE NEMOURS ITALIANA S.R.L.	1971-09-08		1973-10-26	Revocato	revoked								ALDRIN	Good	aldrin	CHEBI:2564																
PESTON:0100026	herbicide product	DISERBANTE	26	U 46 M-FLUID	NUFARM B.V.	1971-06-15	2021-10-31		Ri-registrato	re-registered			SL	soluble concentrate	W	harmful	Xn	MCPA	Good	MCPA-thioethyl	CHEBI:81929	44.3															
PESTON:0100027	pesticide product		27	ARSENE	DU PONT DE NEMOURS ITALIANA S.R.L.	1971-10-16		1977-02-04	Revocato	revoked								ARSENIC ANHYDRIDE (ANIDRIDE ARSENICA)	Medium	heptafluorobutyric anhydride	CHEBI:39424																
PESTON:0100028	pesticide product		28	AZAMON	DU PONT DE NEMOURS ITALIANA S.R.L.	1971-09-16		2001-03-23	Revocato	revoked			WP	wettable powder	W			DIAZINON	High	diazinon	CHEBI:34682	20															
PESTON:0100029	pesticide product		29	DITHANE BLEU	DU PONT DE NEMOURS ITALIANA S.R.L.	1972-09-19		1990-04-07	Revocato	revoked								ZINEB	Good	zineb	CHEBI:52498																
PESTON:0100030	pesticide product		30	FUMATHANE S	DU PONT DE NEMOURS ITALIANA S.R.L.	1971-09-17		1990-04-07	Revocato	revoked								METAM SODIUM	Good	metam-sodium	CHEBI:81737																
PESTON:0100031	pesticide product		31	KARATHANE 1%	DU PONT DE NEMOURS ITALIANA S.R.L.	1972-10-27		1990-04-07	Revocato	revoked								DINOCAP	Good	dinocap	CHEBI:83379																
PESTON:0100032	pesticide product		32	PERBOTRIN	DU PONT DE NEMOURS ITALIANA S.R.L.	1971-12-21		1990-04-07	Revocato	revoked								FOLPET|MANCOZEB	Medium|Medium	folpet	CHEBI:82019		mancozeb	CHEBI:52492													
PESTON:0100033	pesticide product		33	GA-SOL	DU PONT DE NEMOURS ITALIANA S.R.L.	1971-09-07		1992-01-07	Revocato	revoked								METAM SODIUM	Good	metam-sodium	CHEBI:81737																
PESTON:0100034	pesticide product		34	ROTHANE WP 50	DU PONT DE NEMOURS ITALIANA S.R.L.	1971-09-07		1979-03-16	Revocato	revoked								DDD	Good	DDD	CHEBI:27841																
PESTON:0100035	pesticide product		35	TURCAN	DU PONT DE NEMOURS ITALIANA S.R.L.	1971-09-07		1990-04-07	Revocato	revoked								ATRAZINE	Good	atrazine	CHEBI:15930																
PESTON:0100036	pesticide product		36	ANTIDORIFORA TL	ITAL-AGRO S.R.L.	1970-11-13		1982-04-26	Revocato	revoked								CARBARIL|ENDOSULFAN|LINDANE (LINDANO)	Good|Good|Good	zineb	CHEBI:52498		endosulfan	CHEBI:4791		atrazine	CHEBI:15930										
PESTON:0100038	pesticide product		38	POLVERE TABACINA	SCAM S.P.A.	1972-02-16		1978-12-23	Revocato	revoked								ZINEB	Good	zineb	CHEBI:52498																
PESTON:0100039	pesticide product		39	CLOROPIN	DU PONT DE NEMOURS ITALIANA S.R.L.	1971-09-08		2001-09-12	Revocato	revoked			SP	water soluble powder	W			DALAPON	Good	Dalapon	CHEBI:81859	85															
PESTON:0100040	adjuvant product	COADIUVANTE	40	ETRAVON SYNGENTA	SYNGENTA ITALIA S.P.A.	1971-07-26	2015-12-31	2015-12-31	Revocato	revoked			AL	any other liquid	M			SORBITAN MONOLEATO	Medium	Sorbitan laurate	CHEBI:169001	12															
PESTON:0100041	pesticide product		41	AGROXONE LIQUIDO	SOLPLANT S.P.A.	1971-07-27		1990-04-07	Revocato	revoked								MCPA	Good	MCPA-thioethyl	CHEBI:81929	10															
PESTON:0100046	pesticide product		46	ACARTHANE WP	SIPCAM S.P.A.	1971-06-18		2004-07-30	Revocato	revoked			WP	wettable powder	W			DICOFOL|DINOCAP	Medium|Medium	dicofol	CHEBI:34692	18	dinocap	CHEBI:83379	7												
PESTON:0100047	pesticide product		47	AS PG	SIPCAM S.P.A.	1971-07-20		2004-07-30	Revocato	revoked	REVOCA LISTA C RICLASSIFICAZIONE	2003-12-31	GR	granule (generic, but defined size range)	D			CARBARIL	Good	carbaryl	CHEBI:3390	5															
PESTON:0100050	pesticide product		50	BROMCID	SIPCAM S.P.A.	1971-06-17		1991-10-25	Revocato	revoked			EC	emulsifiable concentrate	W			NALED	Good	naled	CHEBI:38729																
PESTON:0100051	pesticide product		51	CARIEFIT NT	SIPCAM S.P.A.	1971-03-12		1978-10-25	Revocato	revoked	REVOCA P.A. ESACLOROBENZOLO							HEXACHLOROBENZENE	High	hexachlorobenzene	CHEBI:5692																
PESTON:0100052	pesticide product		52	DIAZITHION	SIPCAM S.P.A.	1971-04-15		2004-07-30	Revocato	revoked			EC	emulsifiable concentrate	W			DIAZINON	High	diazinon	CHEBI:34682	20															
PESTON:0100053	pesticide product		53	DILEDIT	SIPCAM S.P.A.	1971-06-18		1979-03-02	Revocato	revoked								DDD	Good	DDD	CHEBI:27841																
PESTON:0100054	pesticide product		54	DILENE NT	SIPCAM S.P.A.	1971-04-13		1978-05-15	Revocato	revoked								LINDANE (LINDANO)|DDT	Medium|Medium	2,3-dihydroxy-DDT	CHEBI:46745		DDT	CHEBI:16130													
PESTON:0100055	pesticide product		55	FRUTTENE AZZURRO	SIPCAM S.P.A.	1971-04-17		2004-07-30	Revocato	revoked	REVOCA LISTA C RICLASSIFICAZIONE	2003-12-31	WP	wettable powder	W			ZIRAM	Good	ziram	CHEBI:79736	76															
PESTON:0100056	pesticide product		56	OSSIRAME LV	SIPCAM S.P.A.	1971-08-09		2004-07-30	Revocato	revoked	REVOCA LISTA C RICLASSIFICAZIONE	2003-12-31	SC	suspension concentrate (= flowable concentrate)	W			COPPER OXYCHLORIDE	Medium	copper(0)	CHEBI:30052	26															
PESTON:0100059	pesticide product		59	MASTRO 50% EC	CHEMINOVA A/S	1973-04-16		2004-07-30	Revocato	revoked			EC	emulsifiable concentrate	W			MALATHION	High	malathion	CHEBI:6651	50															
PESTON:0100060	pesticide product		60	FERNOXONE P	SOLPLANT S.P.A.	1972-02-29		1990-04-07	Revocato	revoked								DICHLORPROP	Good	dichlorprop	CHEBI:75375																
PESTON:0100062	pesticide product		62	METILPARATHIONE 20	DU PONT DE NEMOURS ITALIANA S.R.L.	1971-12-01		1990-04-07	Revocato	revoked								PARATHION-METHYL	Good	parathion-methyl	CHEBI:38746																
PESTON:0100063	pesticide product		63	SELEXONE	SOLPLANT S.P.A.	1971-07-21		1990-04-07	Revocato	revoked								MCPB		2-methyl-4-chlorophenoxybutyric acid	CHEBI:81806																
PESTON:0100064	pesticide product		64	AGROXONE 5	SYNGENTA ITALIA S.P.A.	1971-03-23		2003-03-14	Revocato	revoked			EC	emulsifiable concentrate	W			2,4-D	Good	2,4-D	CHEBI:28854	32.5															
PESTON:0100065	pesticide product		65	GUICIDAN	SIPCAM S.P.A.	1971-07-22		2008-03-20	Revocato	revoked			VP	vapour releasing product	F			1,3-DICHLOROPROPENE	Good	1,3-dichloropropene	CHEBI:18918	92															
PESTON:0100066	pesticide product		66	AGHERUD PP	DU PONT DE NEMOURS ITALIANA S.R.L.	1971-09-06		2002-12-31	Revocato	revoked			AL	any other liquid	M			MECOPROP	Good	mecoprop	CHEBI:75711	51															
PESTON:0100067	pesticide product		67	AGHERUD GIALLO	DU PONT DE NEMOURS ITALIANA S.R.L.	1971-12-01		1990-04-07	Revocato	revoked								DNOC		4,6-dinitro-o-cresol	CHEBI:39349																
PESTON:0100068	pesticide product		68	FUMITER	SIPCAM S.P.A.	1971-04-15		1977-02-04	Revocato	revoked								1,2-DIBROMOETHANE (ETHYLENE DIBROMIDE)	Good	1,2-dibromoethane	CHEBI:28534																
PESTON:0100069	pesticide product		69	BAGNANTE AG	SIPCAM S.P.A.	1971-11-22		2004-07-30	Revocato	revoked	REVOCA LISTA C RICLASSIFICAZIONE	2003-12-31	DP	dispersible powder	D				Did not map	N/A																	
PESTON:0100070	pesticide product		70	U 46 KV-PULVER	BASF A.G. (AKTIENGESELLSHAFT)	1971-07-20		2002-09-20	Revocato	revoked			WP	wettable powder	W			MECOPROP	Good	mecoprop	CHEBI:75711	77															
PESTON:0100072	pesticide product		72	TERAN	SIPCAM S.P.A.	1971-04-08		2004-07-30	Revocato	revoked			VP	vapour releasing product	F			METAM SODIUM	Good	metam-sodium	CHEBI:81737	380.0 /l															
PESTON:0100073	pesticide product		73	OLIVAR	CORTEVA AGRISCIENCE ITALIA S.R.L.	1971-07-22		1986-02-26	Revocato	revoked								ENDOTHION	Good	Endothion	CHEBI:82121																
PESTON:0100074	pesticide product		74	PASTA RUMIANCA AZZURRA	ISAGRO S.P.A.	1972-08-18		1993-08-07	Revocato	revoked			SC	suspension concentrate (= flowable concentrate)	W			COPPER OXYCHLORIDE	Medium	copper(0)	CHEBI:30052																
PESTON:0100076	pesticide product		76	ACARTHANE EC	CORTEVA AGRISCIENCE ITALIA S.R.L.	1971-07-21		1986-02-26	Revocato	revoked								DICOFOL|DINOCAP	Medium|Medium	dicofol	CHEBI:34692		dinocap	CHEBI:83379													
PESTON:0100077	pesticide product		77	ACARTHANE WP	CORTEVA AGRISCIENCE ITALIA S.R.L.	1971-07-26		1986-02-26	Revocato	revoked								DICOFOL|DINOCAP	Medium|Medium	dicofol	CHEBI:34692		dinocap	CHEBI:83379													
PESTON:0100078	pesticide product		78	ACHARVIR	CORTEVA AGRISCIENCE ITALIA S.R.L.	1971-05-04		1986-02-26	Revocato	revoked								DICOFOL|DINOCAP	Medium|Medium	dicofol	CHEBI:34692		dinocap	CHEBI:83379													
PESTON:0100079	pesticide product		79	ANGUITOX	CORTEVA AGRISCIENCE ITALIA S.R.L.	1971-05-04		1977-05-07	Revocato	revoked								1,2-DIBROMOETHANE (ETHYLENE DIBROMIDE)	Good	1,2-dibromoethane	CHEBI:28534																
PESTON:0100080	pesticide product		80	AIRONE	ISAGRO S.P.A.	1972-03-10		2004-07-30	Revocato	revoked	REVOCA LISTA C RICLASSIFICAZIONE	2003-12-31	WP	wettable powder	W			PROPINEB	Good	propineb	CHEBI:81755	70															
PESTON:0100081	pesticide product		81	ACARTHANE FORTE	CORTEVA AGRISCIENCE ITALIA S.R.L.	1971-07-26		1986-02-26	Revocato	revoked								DICOFOL|DINOCAP	Medium|Medium	dicofol	CHEBI:34692		dinocap	CHEBI:83379													
PESTON:0100083	pesticide product		83	BIGATOX	CORTEVA AGRISCIENCE ITALIA S.R.L.	1971-07-26		1986-02-26	Revocato	revoked								TRICHLORFON	Good	trichlorfon	CHEBI:6908																
PESTON:0100084	pesticide product		84	CAPTOL 10 PS	CORTEVA AGRISCIENCE ITALIA S.R.L.	1971-07-26		1986-02-26	Revocato	revoked								CAPTAN	Good	captan	CHEBI:34608																
PESTON:0100085	pesticide product		85	CEMIOSTAR	CORTEVA AGRISCIENCE ITALIA S.R.L.	1972-03-08		1986-02-26	Revocato	revoked								DICHLORVOS	Good	dichlorvos	CHEBI:34690																
PESTON:0100086	pesticide product		86	DITHANE BLEU	CORTEVA AGRISCIENCE ITALIA S.R.L.	1971-05-04		1977-04-04	Revocato	revoked								ZINEB	Good	zineb	CHEBI:52498																
PESTON:0100087	pesticide product		87	DITHANE Z 78 POLVERE 8%	CORTEVA AGRISCIENCE ITALIA S.R.L.	1971-05-04		1986-02-26	Revocato	revoked								ZINEB	Good	zineb	CHEBI:52498																
PESTON:0100088	pesticide product		88	DITHANE Z 78	CORTEVA AGRISCIENCE ITALIA S.R.L.	1971-05-04		1986-02-26	Revocato	revoked								ZINEB	Good	zineb	CHEBI:52498																
PESTON:0100089	pesticide product		89	DITHANE M-22	CORTEVA AGRISCIENCE ITALIA S.R.L.	1971-05-04		1990-11-27	Revocato	revoked								MANEB	Good	maneb	CHEBI:52497																
PESTON:0100090	pesticide product		90	DEMETOX MR	CORTEVA AGRISCIENCE ITALIA S.R.L.	1971-07-26		1980-02-08	Revocato	revoked								DEMETON-S-METHYL	Good	demeton-S-methyl	CHEBI:38624																
PESTON:0100091	pesticide product		91	DM 15-16	CHEMIA S.P.A.	1972-10-03		1978-05-30	Revocato	revoked								LINDANE (LINDANO)|PARATHION-METHYL	Medium|Medium	parathion	CHEBI:27928		parathion-methyl	CHEBI:38746													
PESTON:0100092	pesticide product		92	DIFEN 80	SIPCAM S.P.A.	1971-03-11		2003-07-26	Revocato	revoked	REVOCA ADEMPIMENTO REG. 2076 (NON ISCRIZIONE ALL. I)	2003-06-04	WP	wettable powder	W			DIPHENAMID	Good	Diphenamid	CHEBI:81915	80															
PESTON:0100093	pesticide product		93	DERATTIZZANTE CD AGRICOLO	LIBCO	1973-06-25		1996-12-02	Revocato	revoked	REVOCA PER MANCATO ADEMPIMENTO D.L.VO 194/95							WARFARIN	Good	warfarin	CHEBI:10033	1															
PESTON:0100094	pesticide product		94	FOSFURO DI ZINCO	SAFFA	1973-01-18		1977-03-11	Revocato	revoked								ZINC PHOSPHIDE (ZINCO FOSFURO)	Medium	aluminium phosphide	CHEBI:38495																
PESTON:0100095	pesticide product		95	AZETIL E 30 P.B.	CORTEVA AGRISCIENCE ITALIA S.R.L.	1971-12-02		1990-11-17	Revocato	revoked								AZINFOS ETILE	Good	azinphos-ethyl	CHEBI:38587																
PESTON:0100096	pesticide product		96	KELON 42	CORTEVA AGRISCIENCE ITALIA S.R.L.	1971-07-24		1990-11-27	Revocato	revoked								DICOFOL	Good	dicofol	CHEBI:34692																
PESTON:0100097	pesticide product		97	ELKAR EC	ISAGRO S.P.A.	1972-09-15		1993-08-07	Revocato	revoked								DICOFOL	Good	dicofol	CHEBI:34692																
PESTON:0100098	pesticide product		98	KERALON	ISAGRO S.P.A.	1971-12-02		2004-07-30	Revocato	revoked	REVOCA LISTA C RICLASSIFICAZIONE	2003-12-31	AL	any other liquid	M			DICOFOL	Good	dicofol	CHEBI:34692																
PESTON:0100100	pesticide product		100	ELKAR AP	ISAGRO S.P.A.	1971-12-20		1993-08-07	Revocato	revoked								DICOFOL	Good	dicofol	CHEBI:34692																
PESTON:0100101	pesticide product		101	K 42	SIPCAM S.P.A.	1971-06-18		2004-07-30	Revocato	revoked			EC	emulsifiable concentrate	W			DICOFOL	Good	dicofol	CHEBI:34692	42															
PESTON:0100102	acaricide product	ACARICIDA	102	K 20	SIPCAM S.P.A.	1971-06-17		2009-03-30	Revocato	revoked			EC	emulsifiable concentrate	W	harmful	Xn	DICOFOL	Good	dicofol	CHEBI:34692	18.5															
PESTON:0100103	pesticide product		103	KARATHANE W.D.	CORTEVA AGRISCIENCE ITALIA S.R.L.	1971-07-22		1990-11-27	Revocato	revoked								DINOCAP	Good	dinocap	CHEBI:83379																
PESTON:0100104	pesticide product		104	KELTHANE W	CORTEVA AGRISCIENCE ITALIA S.R.L.	1971-07-23		1986-02-26	Revocato	revoked								DICOFOL	Good	dicofol	CHEBI:34692																
PESTON:0100105	pesticide product		105	KELTANE EC	CORTEVA AGRISCIENCE ITALIA S.R.L.	1971-07-23		1990-11-27	Revocato	revoked								DICOFOL	Good	dicofol	CHEBI:34692																
PESTON:0100106	pesticide product		106	MUFFAR	CORTEVA AGRISCIENCE ITALIA S.R.L.	1971-05-04		1986-02-26	Revocato	revoked								DICHLOFLUANID	Good	dichlofluanid	CHEBI:74875																
PESTON:0100107	pesticide product		107	MICENE E BLU	SIPCAM S.P.A.	1971-08-09		1978-11-30	Revocato	revoked								ZIREB		methyl group	CHEBI:32875																
PESTON:0100108	pesticide product		108	METHOXONE	SOLPLANT S.P.A.	1972-02-29		1990-04-07	Revocato	revoked								MECOPROP|2,4-D	Medium|Medium	2,4-D	CHEBI:28854		mecoprop	CHEBI:75711													
PESTON:0100109	pesticide product		109	MELPREX 5 GRANULARE	BASF AGRO S.P.A.	1971-07-22		1990-11-27	Revocato	revoked								DODINE		1-dodecylguanidine acetate	CHEBI:74889																
PESTON:0100110	pesticide product		110	MALATHIR GRANULARE	ISAGRO S.P.A.	1972-10-14		1978-05-30	Revocato	revoked								CARBARIL|MALATHION|PARATHION-METHYL	Medium|Medium|Did not map	parathion-methyl	CHEBI:38746		parathion	CHEBI:27928		N/A											
PESTON:0100111	pesticide product		111	MARAZIN	CORTEVA AGRISCIENCE ITALIA S.R.L.	1971-06-16		1986-02-26	Revocato	revoked								MANEB|COPPER OXYCHLORIDE|ZINEB	Medium|Medium|Medium	zineb	CHEBI:52498		maneb	CHEBI:52497		parathion-methyl	CHEBI:38746										
PESTON:0100112	pesticide product		112	M-45 DUST 16%	ROHM AND HAAS ITALIA S.R.L.	1971-09-06		1996-06-10	Revocato	revoked			DP	dispersible powder	D			MANCOZEB	Good	mancozeb	CHEBI:52492																
PESTON:0100113	pesticide product		113	MIXAN BLU	ISAGRO S.P.A.	1972-08-22		1978-12-22	Revocato	revoked								COPPER OXYCHLORIDE|ZINEB|ZIRAM|SULPHUR (ZOLFO)	Medium|Medium|Good|Medium	elemental sulfur	CHEBI:33403		elemental sulfur	CHEBI:33403		mancozeb	CHEBI:52492		zineb	CHEBI:52498							
PESTON:0100114	pesticide product		114	MALATHIR 50	ISAGRO S.P.A.	1973-03-01		1978-04-28	Revocato	revoked								LINDANE (LINDANO)|PARATHION-METHYL	Medium|Medium	parathion	CHEBI:27928		parathion-methyl	CHEBI:38746													
PESTON:0100115	pesticide product		115	NABAM 90	CORTEVA AGRISCIENCE ITALIA S.R.L.	1971-12-02		1986-02-26	Revocato	revoked								NABAM	Good	nabam	CHEBI:81934																
PESTON:0100116	pesticide product		116	PARAMAAG C 97%	DU PONT DE NEMOURS ITALIANA S.R.L.	1971-09-06		1990-04-07	Revocato	revoked								PARAFFIN OIL/(CAS 8012-95-1)	Medium	castor oil	CHEBI:140618																
PESTON:0100117	pesticide product		117	NOGAL	CORTEVA AGRISCIENCE ITALIA S.R.L.	1971-06-16		1986-02-26	Revocato	revoked								THIONAZIN	Good	Thionazin	CHEBI:82165																
PESTON:0100118	pesticide product		118	NABAM PB 90	ISAGRO S.P.A.	1973-01-18		1991-10-25	Revocato	revoked								NABAM	Good	nabam	CHEBI:81934																
PESTON:0100119	pesticide product		119	ACARION EC	DU PONT DE NEMOURS ITALIANA S.R.L.	1972-11-09	2002-06-26	2002-06-07	Revocato	revoked			EC	emulsifiable concentrate	W			PROPARGITE	Good	propargite	CHEBI:39300	57															
PESTON:0100120	pesticide product		120	ACARION WP	DU PONT DE NEMOURS ITALIANA S.R.L.	1971-11-09		1990-04-07	Revocato	revoked								PROPARGITE	Good	propargite	CHEBI:39300																
PESTON:0100121	pesticide product		121	PERTHANE E.C.	CORTEVA AGRISCIENCE ITALIA S.R.L.	1971-07-26		1986-02-26	Revocato	revoked								PERTANE		pentane	CHEBI:37830	47															
PESTON:0100122	pesticide product		122	POSTGRAN	CORTEVA AGRISCIENCE ITALIA S.R.L.	1971-07-02		1986-02-26	Revocato	revoked								METHOPROTHRYNE		methoprotryne	CHEBI:82226																
PESTON:0100123	pesticide product		123	PULITER	CORTEVA AGRISCIENCE ITALIA S.R.L.	1971-07-24		1985-07-04	Revocato	revoked								METHYLISOTHIOCYANATE		methyl isothiocyanate	CHEBI:78337																
PESTON:0100124	pesticide product		124	ROTHANE WP 50	CORTEVA AGRISCIENCE ITALIA S.R.L.	1971-07-26		1979-03-16	Revocato	revoked								DDT	Good	DDT	CHEBI:16130																
PESTON:0100125	pesticide product		125	RUMITION E 20	ISAGRO S.P.A.	1972-08-22		1993-08-07	Revocato	revoked								AZINFOS ETILE	Good	azinphos-ethyl	CHEBI:38587	20															
PESTON:0100126	pesticide product		126	SEDIT P.B.	CHIMIBERG S.R.L.	1972-05-30		1991-07-25	Revocato	revoked								CARBARIL	Good	carbaryl	CHEBI:3390																
PESTON:0100127	pesticide product		127	SERFUM	CORTEVA AGRISCIENCE ITALIA S.R.L.	1971-07-22		1990-11-27	Revocato	revoked								METAM SODIUM	Good	metam-sodium	CHEBI:81737																
PESTON:0100130	pesticide product		130	TEPCIDE	CORTEVA AGRISCIENCE ITALIA S.R.L.	1971-07-24		1986-02-26	Revocato	revoked								TETRAETHYL PYROPHOSPHATE (TEPP)|CHLORBENSIDE	Medium|Medium	2-Tetrazene, 1,1,4,4-tetraethyl-	CHEBI:151046		TEPP	CHEBI:82149													
PESTON:0100131	pesticide product		131	TRIDIT 25	CORTEVA AGRISCIENCE ITALIA S.R.L.	1971-07-23		1978-10-11	Revocato	revoked								DDT	Good	DDT	CHEBI:16130																
PESTON:0100132	pesticide product		132	TREMOTAL	SIPCAM S.P.A.	1971-08-09		2003-07-26	Revocato	revoked	REVOCA ADEMPIMENTO REG. 2076 (NON ISCRIZIONE ALL. I)		EC	emulsifiable concentrate	W			MONOCROTOPHOS	Good	monocrotophos	CHEBI:38728	18															
PESTON:0100133	herbicide product	DISERBANTE	133	U 46 D-FLUID	NUFARM B.V.	1971-07-23	2030-12-31		Ri-registrato	re-registered			SL	soluble concentrate	W	irritant	Xi	2,4-D	Good	2,4-D	CHEBI:28854	49.8															
PESTON:0100134	pesticide product		134	ZIRVAL 80 PB	SCAM S.P.A.	1971-07-21		2000-09-12	Revocato	revoked			WP	wettable powder	W			ZIRAM	Good	ziram	CHEBI:79736	80															
PESTON:0100135	pesticide product		135	ZINEB 80	AGRICHIMICA S.R.L.	1972-09-19		2001-07-12	Revocato	revoked	REVOCA PER NON ISCRIZIONE ZINEB ALL. 1 DIR. 91/414 (DM 18.5.01)	2001-07-12	DP	dispersible powder	D			ZINEB	Good	zineb	CHEBI:52498																
